iso_code,title,description,lang_tranlation,title_translated,description_translated,pubDate
at,"Salehpour inszeniert ""Alles ist erleuchtet"" mit neuem Fokus","Ein junger amerikanischer Autor reist auf der Suche nach seinen jüdischen Wurzeln in die Ukraine. Mit seinem Debüt ""Alles ist erleuchtet"" stürmte Jonathan Safran Foer 2002 die internationalen Bestsellerlisten. Nun bringt die deutsch-iranische Regisseurin Mina Salehpour den Roman am Akademietheater zur Österreichischen Erstaufführung. Mit der APA sprach sie vor der Premiere am Donnerstag über die Fokusverschiebung der Handlung, den weltweiten Rechtsruck und autoritäre Systeme.",en,"Salehpour stages ""everything is enlightened"" with a new focus","A young American author travels to Ukraine in search of his Judic roots. With his debut ""Everything is lit"", Jonathan Safran foer stormed the international bestseller lists in 2002. Now the German-Iranian director Mina Salehpour brings the novel at the academy theater to the Esterreichische Breichung. Before the premiere on Thursday, she spoke to the APA about the focus of the action, the global pressure and authoritarian systems.",2025-03-18 05:04:00
at,Serbien: Regierungspartei liegt auch mit der Kultur im Clinch,"Es sein „ein Angriff auf die Kultur“, sagt eine Kritikerin der aktuellen serbischen Regierung. Die serbische Kulturszene stellt sich gegen die Regierung, diese reagiert mit Entlassungen.",en,Serbia: Government party also lies with the culture in the clinch,"It is an attack on culture, says a critic of the current Serbian government. The Serbian cultural scene faces the government, which reacts with layoffs.",2025-03-18 05:24:54
at,Auf ISS gestrandete Astronauten beginnen Rückreise zur Erde,"Zwei seit neun Monaten auf der Internationalen Raumstation ISS festsitzende US-Astronauten sind auf dem Weg zurück zur Erde. Suni Williams und Butch Wilmore verließen die ISS gemeinsam mit zwei weiteren Raumfahrern an Bord einer ""Crew Dragon""-Raumkapsel, wie Live-Aufnahmen der US-Raumfahrtbehörde NASA zeigten. Mit dabei waren ihr US-Kollege Nick Hague und der russische Kosmonaut Alexander Gorbunow, die beide im September auf der ISS angekommen waren.",en,Astronauts stranded on ISS begin back to earth,"Two US astronauts that have been stuck on the international space station for nine months are on their way to Earth. Suni Williams and Butch Wilmore, the ISS, together with two other space travelers on board a ""Crew Dragon"" room capsule, have shown how live shots on the US room ridewidder NASA showed. Her US colleague Nick Hague and the Russian cosmonaut Alexander Gorbunow, both of whom had arrived on the ISS in September.",2025-03-18 05:23:00
at,Waffenruhe beendet: Israel bombardiert Gazastreifen,Israels Armee soll mindestens 35 Luftangriffe auf den Gazastreifen geflogen sein. Ein Sprecher des Gesundheitsministeriums im Gazastreifen spricht von mindestens 200 Toten.,en,Waffenruhe finished: Israel bombies gaza stripes,Israel's army is said to have flown at least 35 air strikes on the Gaza Strip. A spokesman for the Ministry of Health in Gaza Strip speaks of at least 200 deaths.,2025-03-18 05:22:59
at,Das Millionen-Business der Frau Benko,"Während ihrer Ehe bekam Nathalie Benko bereits Unterhalt, kaufte damit Ibiza-Villen",en,Ms. Benko's millions of business,"During her marriage, Nathalie Benko already got maintenance, bought Ibiza villas",2025-03-18 05:21:53
at,Erste Schätzungen: D2L gibt Ergebnis zum abgelaufenen Quartal bekannt,"D2L wird voraussichtlich am 02.04.2025 die Bücher zum am 31.01.2025 abgelaufenen Jahresviertel öffnen.Im Durchschnitt erwarten 4 Analysten einen Quartalsgewinn je Aktie von 0,075 USD. Im Vorjahresquartal hatte das Unternehmen noch einen Gewinn von 0,010 CAD je Aktie vermeldet.Auf der Umsatzseite soll D2L 7...",en,First estimates: D2L announces the result for the past quarter,"D2L is expected to be open on 02.04.2025 to the annual quarter of the year on January 31, 2025. In average, 4 analysts expect a quarterly profit of $ 0.075 per share. In the previous year, the company had announced a profit of 0.010 CAD per share. D2L 7 ...",2025-03-18 05:21:33
at,Erste Schätzungen: Shanghai Jin jiang International Hotel Development legt Zahlen zum jüngsten Quartal vor,"Shanghai Jin jiang International Hotel Development öffnet voraussichtlich am 02.04.2025 die Bücher zum am 31.12.2024 abgelaufenen Quartal.Die Schätzungen von 3 Analysten gehen beim Ergebnis je Aktie von durchschnittlich 0,037 CNY aus. Damit hätte sich das EPS im...",en,First estimates: Shanghai Jin Jiang International Hotel Development presents numbers for the youngest quarter,"Shanghai Jin Jiang International Hotel Development Offnet is expected to be on 02.04.2025 the bucher to the quarter on December 31, 2024. With that the EPS in ...",2025-03-18 05:21:33
at,Erste Schätzungen: Draegerwerk öffnet die Bücher zum abgelaufenen Quartal,"Draegerwerk lässt sich voraussichtlich am 02.04.2025 in die Bücher schauen: Auf der vierteljährlichen Finanzkonferenz wird Draegerwerk die Bilanz zum am 31.12.2024 beendeten Jahresviertel offenlegen.1 Analyst schätzt, dass Draegerwerk im jüngsten Jahresviertel...",en,First estimates: Draegerwerk opened the bookers for the past quarter,"Draegerwerk is expected to be looked at the Bucher on April 2nd, 2025: At the quarterly financial conference, Draegerwerk will disclose the balance sheet on the annual quarter ended on December 31, 2024.1 Analyst darling that the Draegerwerk in the youngest annual quarter ...",2025-03-18 05:21:33
at,Erste Schätzungen: Drägerwerk gewährt Anlegern Blick in die Bücher,"Drägerwerk wird voraussichtlich am 02.04.2025 das Zahlenwerk zum am 31.12.2024 abgelaufenen Jahresviertel vorstellen.1 Analyst prognostiziert einen Gewinn je Aktie von 6,28 EUR gegenüber 3,47 EUR im Vorjahresquartal.Das vergangene Quartal soll Drägerwerk im Schnitt mit einem Umsatz von insgesamt 1,07...",en,First estimates: Dragerwerk presents investors look at the books,"Dragerwerk is expected to present the figures for the annual quarter on April 2nd, 2024. 1 Analyst forecast a profit of EUR 6.28 compared to EUR 3.47 in the previous year.",2025-03-18 05:21:33
at,Auf ISS gestrandete Astronauten beginnen Rückreise zur Erde,"Zwei seit neun Monaten auf der Internationalen Raumstation ISS festsitzende US-Astronauten sind auf dem Weg zurück zur Erde. Suni Williams und Butch Wilmore verließen die ISS gemeinsam mit zwei weiteren Raumfahrern an Bord einer ""Crew Dragon""-Raumkapsel, wie Live-Aufnahmen der US-Raumfahrtbehörde NASA zeigten.",en,Astronauts stranded on ISS begin back to earth,"Two US astronauts that have been stuck on the international space station for nine months are on their way to Earth. Suni Williams and Butch Wilmore, the ISS, together with two other space travelers on board a ""Crew Dragon"" room capsule, have shown how live shots on the US room ridewidder NASA showed.",2025-03-18 05:18:48
