iso_code,title,description,lang_tranlation,title_translated,description_translated,pubDate
cz,V Hondurasu se zřítilo letadlo: Mezi mrtvými je známý hudebník,Nejméně sedm lidí zemřelo v pondělí večer při pádu malého letadla do moře u pobřeží Hondurasu. Deset zraněných převezli policisté a záchranáři do blízké nemocnice. Informují o tom honduraská média. Příčina nehody se vyšetřuje.,en,In Honduras the plane was born: among the dead is the musician known,The least seven people died on Monday in the evening at the small plane's pad to the sea at the time of Honduras. The ten injured police and the rescuers to the closer hospital. I inform Hondurask Media. Pricina's accident is toned.,2025-03-18 05:05:00
cz,Boj o nejmocnější funkci ve sportu vrcholí. Favorit je pro návrat Ruska na OH,Mezinárodní olympijský výbor volí nového prezidenta. Po dvanáctiletém období Němce Thomase Bacha se hlásí o nejmocnější post ve světovém sportu sedm uchazečů. Hraje se o hodně. Třeba o návrat Ruska na olympiádu.,en,Fight for the most powerful function in sport Vrcholi. Favorite is for Returning Russia at Olympics,"Olympic Olympic Visor of the New President. After a two -year period of German Thomas Bach, seven candidates are voting on the Svetov Sport. It is played a lot. It is necessary to return Russia to the Olympiad.",2025-03-18 06:20:00
cz,Pavel hostí bezpečnostní konferenci: Dorazí i poradce Zelenského,"Na konferenci věnované bezpečnosti dnes na Pražském hradě vystoupí prezident Petr Pavel, premiér Petr Fiala (ODS) a poradce ukrajinského prezidenta Oleksandr Kamyšin. Promluví i ministryně obrany Jana Černochová (ODS), ministr zahraničí Jan Lipavský (nestr.) a ministr vnitra Vít Rakušan (STAN). Konferenci Naše bezpečnost není samozřejmost pořádá spolek Jagello 2000, letos se v panelech zaměří na témata navyšování obranných výdajů či významu obranného průmyslu pro ekonomiku.",en,Pavel Hosts Smoic Conference: Considers of Zelenka,"President Petr Pavel, Premier Petr Fiala (ODS) and advisor to the Ukrainian President Oleksandr Kamysin at the conference of Menovan. The Minister of Defense Jan Cernochov (ODS), Foreign Minister Jan Lipavsky (nesstr.) And the Minister of the Interior Vit Austria (STAN). The conference of us is not a matter of course the meeting of the Jagello 2000 Association, this year in the panels will be focused on the topics of bringing the defensive people or the importance of the defense of the economy.",2025-03-18 06:45:00
cz,Ukrajina testuje balonové mateřské lodě pro vypouštění dronů zabijáků,"Technologie balonů pro vojenské účely slaví v poslední době pozoruhodnou renesanci. Sociálními sítěmi nedávno prolétly snímky s ukrajinskými plavidly, ze kterých piloti vypouštějí sebevražedné drony–interceptory. Mají za úkol vyhledávat a ničit ruskou konkurenci, která šíří zkázu na tamním ...",en,Ukraine tests the balloon maternity boat to drain the drone of the kilib,"Balloon technology for military relevant reasons recently a remarkable renaissance. Social sites have not flew with Snimky with Ukrainian vessels, from which pilots eject the suicide of dronyinterceptors. They were to search for and do not go to Russian competition, which siri spoil the tamnim ...",2025-03-18 06:45:00
cz,Jak mluvit o sexu se svým partnerem,"Rozhovory o sexu, potřebách i preferencích jsou pro vztah důležité. I proto, že právě takové debaty vedou ke zdravému sexuálnímu životu. Porovnání tužeb, očekávání i vlivu výchovy na to, co si přejete, může předcházet vztahovým potížím.",en,How to talk about sex with your partner,"Interviews about sex, Potrebach and preferences are important for the relationship. Also because just such a debate leads to healthy sexual life. Comparison of tuze, expectations and influence of upbringing on what you want, it can predeterize the relationship.",2025-03-18 06:45:00
cz,"Konečné domů. Astronauti, kteří uvízli na ISS, vyrazili zpátky k Zemi",Dvojice astronautů by se po devíti měsících nouzového pobytu na Mezinárodní vesmírné stanici měla v nejbližších hodinách vrátit zpět na Zemi.,en,Finally the house. Astronauts who have been on the ISS set back to the ground,"A pair of astronaut, after a short month of emergency stay on the international universe, had to return back to the ground at the closest station.",2025-03-18 06:40:58
cz,Obnovení geopolitického napěti = kapitál prchá do bezpečnějších aktiv - Ranní shrnutí (18.03.2025),"Obnovení geopolitického napětí mezi Izraelem a Hamásem a USA a Íránem přimělo kapitál k úniku do bezpečnějších aktiv. V první části dne jsme zaznamenali zisky zlata, ropy a amerického dolaru. Kontrakty CFD na americké indexy, stejně jako kontrakty na i...",en,Renewing geopolitical voltage = capital fold into safety assets - morning summarizing (18.03.2025),"The renewal of the geopolitical voltage between Israel and Hamas and the US and the Iran primarily primarily the capital to join the safety assets. In the first part of the day we noticed profits of gold, oil and the US dollar. CFD contracts for American indices, as well as contracts for i ...",2025-03-18 06:40:45
cz,Ranní shrnutí (18.03.2025),"Obnovení geopolitického napětí mezi Izraelem a Hamásem a USA a Íránem přimělo kapitál k úniku do bezpečnějších aktiv. V první části dne jsme zaznamenali zisky zlata, ropy a amerického dolaru. Kontrakty CFD na americké indexy, stejně jako kontrakty na i...",en,Morning summarized (18.03.2025),"The renewal of the geopolitical voltage between Israel and Hamas and the US and the Iran primarily primarily the capital to join the safety assets. In the first part of the day we noticed profits of gold, oil and the US dollar. CFD contracts for American indices, as well as contracts for i ...",2025-03-18 06:40:45
cz,"Častější nemoci, horší průběh. Imunita Čechů je zřejmě porušená, říká lékařka","Častější, závažnější i opakované nákazy u svých pacientů zaznamenávají někteří praktičtí lékaři. Odborníci vysvětlují, co za tím může stát i jak se onemocněním bránit.",en,"Castejsi diseases, worse prubeh. The immunity of the guild is apparently a chunky, a ricker of a doctor",Somewhat practical doctors record in their patients. I am explaining what to do and how to defend the disease.,2025-03-18 06:40:00
cz,Bývalý obránce NHL Klouček se zabil po nárazu do rozvodového sloupku. Bylo mu 45 let,Při nedělním lyžování ve Špindlerově Mlýně tragicky zemřel bývalý hokejista Tomáš Klouček.,en,Bye of the NHL defense Kloucek killed himself after the divorce column. He was 45 years old,"During the Sunday skiing in the Spindler Mlyne, the hockey player Tomas Kloucek died.",2025-03-18 06:37:03
cz,Izrael obnovil útoky v Gaze: Noční nálety zabily nejméně 200 lidí,"Noční údery v Pásmu Gazy, jimiž Izrael ukončil klid zbraní trvající od ledna, zabily nejméně 200 lidí, mezi nimi řadu dětí.The post Izrael obnovil útoky v Gaze: Noční nálety zabily nejméně 200 lidí appeared first on Epoch Times ČR.",en,Israel renewed the assaults in Gaza: Night on the Night killed at least 200 people,"Night in the Gaza Passport, Jiiz Israel ended the calm weapon since January, killed at least 200 people, among them the advice. The post of Israel restored the assaults in Gaza: Night.",2025-03-18 06:34:21
cz,"Pastrňák přihrál Zachovi na gól, Vladař naskočil do souboje s Torontem","V pěti pondělních zápasech hokejové NHL Češi bodovali jen v souboji Bostonu s Buffalem. Přihrávka Davida Pastrňáka a zakončení Pavla Zachy pomohlo Bruins k zisku bodu po výsledku 2:3 po prodloužení. Gólman Dan Vladař na startu třetí třetiny nahradil odvolaného parťáka Dustina Wolfa, jenž nezastavil kanonádu Toronta. Maple Leafs potěšili své fanoušky triumfem 6:2.",en,"Pastrnak pricked to the Gol, Vladar suckled into a duel with Toronto","In the ponds of the hockey NHL, the Czechs scored only in the Boston battle with Buffalo. David Pastrnak and Paul's ending, Bruins helped Bruins to gain a point after the result 2: 3 after the extension. Golman Dan Vladar at the start of Treta Tretina replaced the revocated participation of Dustin Wolf, Jenz did not stop Canonad Toronto. Maple Leafs used their fans triumph 6: 2.",2025-03-18 06:32:55
cz,Kalkulačka: Rodičovský příspěvek 2025. Výpočet a kdy chodí na účet,,en,Calculation: Rodicovsky Pispevek 2025.,,2025-03-18 09:25:00
cz,Americký index SP 500 se propadl o více jak 10 %,Americký index SP 500 se po páteční silné zelené seanci pohybuje výše a obchoduje se kolem úrovně 5 619 bodů. Trhy se mezitím připravují na středeční zasedání Fedu a případná oznámení týkající se ukrajinsko-ruského příměří.,en,The American Index SP 500 has failed more than 10 %,"The American Index SP 500 is moving at a thickness of a strong green session and trades around 5,619 points. Meanwhile, the markets are prepared at the middle of the fed and the announcement of the Ukrainian-Ruske Primeri.",2025-03-18 09:23:32
cz,Alphabet: Obnovený dialog ohledně akvizice Wizu,"Alphabet dle neověřených zpráv obnovil rozhovory ohledně akvizice startupu Wiz Inc. , který se zabývá kybernetickou bezpečností. Oproti původní nabídce okolo 23 mld. USD nyní Alphabet nabízí dle neověřených zpráv kolem 30 mld. USD.",en,Alphabet: Renewed dialogue regarding the acquisition of Wizu,"Alphabet, according to non -neoveered reports, renewed interviews regarding the acquisition of Wiz Inc. startup. that is embedded with cyber security. Compared to the original offer of around 23 billion, USD now offers around $ 30 billion according to non -even reports.",2025-03-18 09:23:14
