iso_code,title,description,lang_tranlation,title_translated,description_translated,pubDate
gb,TK Maxx at Imperial Retail Park opening date unveiled,Shoppers only have a few days left to wait,en,TK Maxx at Imperial Retail Park opening date unveiled,Shoppers only have a few days left to wait,2025-03-18 05:04:00
gb,"'Shocked' and 'angry,' captive families say Israel must return to the ceasefire","'Shocked' and 'angry,' captive families say Israel must return to the ceasefire Families of Israeli captives said they are ""shocked, angry, and terrified by the deliberate dismantling of the (ceasefire) process"" as they condemned Israel's renewed attacks on Gaza.The claim that the war is being renewed for the release of the captives is a ""complete deception"" – military pressure endangers the captives and soldiers, the families said in a statement. ""We must return to the cease-fire.""The families' statement directly addressed the Israeli government: ""Why aren't you fighting in the negotiating room? Why did you pull out of the deal that could have brought everyone home?"" They also called on President Trump to release all the captives.""The greatest fear of the families, the hostages and the citizens of Israel has come true – The Israeli government has chosen to give up on the hostages,"" the statement read.""Returning to fighting before the last person is released will come at the cost of the 59 hostages who are still in Gaza and could be saved and returned,"" the statement read.""The Israeli government has refused to declare an end to the war in order to implement the next steps in the deal and return all the hostages .""",en,"'Shocked' and 'angry,' captive families say Israel must return to the ceasefire","'Shocked' and 'angry,' captive families say Israel must return to the ceasefire Families of Israeli captives said they are ""shocked, angry, and terrified by the deliberate dismantling of the (ceasefire) process"" as they condemned Israel's renewed attacks on Gaza.The claim that the war is being renewed for the release of the captives is a ""complete deception""  military pressure endangers the captives and soldiers, the families said in a statement. ""We must return to the cease-fire.""The families' statement directly addressed the Israeli government: ""Why aren't you fighting in the negotiating room? Why did you pull out of the deal that could have brought everyone home?"" They also called on President Trump to release all the captives.""The greatest fear of the families, the hostages and the citizens of Israel has come true  The Israeli government has chosen to give up on the hostages,"" the statement read.""Returning to fighting before the last person is released will come at the cost of the 59 hostages who are still in Gaza and could be saved and returned,"" the statement read.""The Israeli government has refused to declare an end to the war in order to implement the next steps in the deal and return all the hostages .""",2025-03-18 06:20:00
gb,Chaitra month 2025: What to do and avoid for a prosperous and harmonious life,"Chaitra month 2025 holds great spiritual significance. Know the key do’s and don’ts, including sacred rituals and forbidden activities, to attract prosperity and divine blessings.",en,Chaitra month 2025: What to do and avoid for a prosperous and harmonious life,"Chaitra month 2025 holds great spiritual significance. Know the key dos and donts, including sacred rituals and forbidden activities, to attract prosperity and divine blessings.",2025-03-18 06:48:00
gb,Scotland braces for UK PIP disability cut announcements,The UK Labour Government is expected to announce a package of disability benefit reforms on Tuesday.,en,Scotland braces for UK PIP disability cut announcements,The UK Labour Government is expected to announce a package of disability benefit reforms on Tuesday.,2025-03-18 06:47:47
gb,Injured Messi to miss Argentina’s FIFA World Cup qualifiers,The world champions will face Uruguay on March 21 and Brazil on March 25 without their influential captain.,en,Injured Messi to miss Argentinas FIFA World Cup qualifiers,The world champions will face Uruguay on March 21 and Brazil on March 25 without their influential captain.,2025-03-18 06:47:44
gb,'Discarded like a dirty rag': Chinese state media hails Trump cuts to Voice of America,"State newspaper gloated that the network has ""now been discarded by its own government like a dirty rag"".",en,'Discarded like a dirty rag': Chinese state media hails Trump cuts to Voice of America,"State newspaper gloated that the network has ""now been discarded by its own government like a dirty rag"".",2025-03-18 06:47:06
gb,Donald Trump Addresses Failure To Meet Signature Campaign Pledge,"President Donald Trump sits for an interview with ""Full Measure with Sharyl Attkisson"" broadcast on March 16, 2025.US President Donald Trump has addressed the failure to meet one of his most significant campaign pledges.During his 2024 presidential bid, Trump repeatedly pledged to end the war in Ukraine in “24 hours.” Now, nearly two months after his inauguration, the three-year conflict continues to rage.In an interview broadcast on Sunday, Trump, though, claimed he didn’t mean that campaign promise literally.“Well, I was being a little bit sarcastic when I said that,” Trump told Full Measure. “What I really mean is I’d like to get it settled, and I think I’ll be successful.”Still, during the buildup to the 2024 presidential race, Trump appeared unequivocal in his assertions that he could bring a prompt closure to the war, telling Fox News’ Sean Hannity in March 2023 he could “fix” the conflict as soon as he won the presidential election.“I would fix that within 24 hours, and if I win, before I get into the office, I will have that war settled,” he added. “One hundred percent sure.”Since then, he has made similar claims multiple times, including during the ABC News debate with former Vice President Kamala Harris in September.“If I’m president-elect, I’ll get it done before even becoming president,” Trump said at the time.During the Full Measure interview, Trump also referred to the 30-day ceasefire proposal the US has made to both Ukraine and Russia. Kyiv has already green-lit the plan, but the Kremlin has yet to confirm its approval.Asked about what he is prepared to do if Russian President Vladimir Putin refuses to back the ceasefire, Trump didn’t offer a direct response, noting that it would be “bad news for this world.”“I think he’s going to agree, I really do,” Trump said of Putin. “I think I know him pretty well, and I think he’s going to agree.”We just finished interviewing President Trump. He spent the day negotiating over Ukraine and seemed optimistic. Here’s how to watch Sunday: https://t.co/1zR7xf8Vn9pic.twitter.com/ErIN03uS6R— Full Measure News (@FullMeasureNews) March 14, 2025Trump told reporters Sunday evening on Air Force One that he would speak to Putin on Tuesday after his envoy Steve Witkoff travelled to Moscow to meet with the Russian president last week.The Kremlin on Monday also confirmed the planned talks.Trump added that he believes his administration has a “very good chance” at bringing the war to a close.“We will be talking about land. We will be talking about power plants,” he said.Related...Trump Praises Jeff Bezos For Doing 'A Real Job' At The Washington Post Amid Controversial Changes'Dictator S**t': Trump's Middle-Of-The-Night Meltdown Nulling Biden Pardons Is SlammedDonald Trump To Hold Talks With Vladimir Putin In Bid To Agree Ukraine Peace Deal",en,Donald Trump Addresses Failure To Meet Signature Campaign Pledge,"President Donald Trump sits for an interview with ""Full Measure with Sharyl Attkisson"" broadcast on March 16, 2025.US President Donald Trump has addressed the failure to meet one of his most significant campaign pledges.During his 2024 presidential bid, Trump repeatedly pledged to end the war in Ukraine in 24 hours. Now, nearly two months after his inauguration, the three-year conflict continues to rage.In an interview broadcast on Sunday, Trump, though, claimed he didnt mean that campaign promise literally.Well, I was being a little bit sarcastic when I said that, Trump told Full Measure. What I really mean is Id like to get it settled, and I think Ill be successful.Still, during the buildup to the 2024 presidential race, Trump appeared unequivocal in his assertions that he could bring a prompt closure to the war, telling Fox News Sean Hannity in March 2023 he could fix the conflict as soon as he won the presidential election.I would fix that within 24 hours, and if I win, before I get into the office, I will have that war settled, he added. One hundred percent sure.Since then, he has made similar claims multiple times, including during the ABC News debate with former Vice President Kamala Harris in September.If Im president-elect, Ill get it done before even becoming president, Trump said at the time.During the Full Measure interview, Trump also referred to the 30-day ceasefire proposal the US has made to both Ukraine and Russia. Kyiv has already green-lit the plan, but the Kremlin has yet to confirm its approval.Asked about what he is prepared to do if Russian President Vladimir Putin refuses to back the ceasefire, Trump didnt offer a direct response, noting that it would be bad news for this world.I think hes going to agree, I really do, Trump said of Putin. I think I know him pretty well, and I think hes going to agree.We just finished interviewing President Trump. He spent the day negotiating over Ukraine and seemed optimistic. Heres how to watch Sunday: https://t.co/1zR7xf8Vn9pic.twitter.com/ErIN03uS6R Full Measure News (@FullMeasureNews) March 14, 2025Trump told reporters Sunday evening on Air Force One that he would speak to Putin on Tuesday after his envoy Steve Witkoff travelled to Moscow to meet with the Russian president last week.The Kremlin on Monday also confirmed the planned talks.Trump added that he believes his administration has a very good chance at bringing the war to a close.We will be talking about land. We will be talking about power plants, he said.Related...Trump Praises Jeff Bezos For Doing 'A Real Job' At The Washington Post Amid Controversial Changes'Dictator S**t': Trump's Middle-Of-The-Night Meltdown Nulling Biden Pardons Is SlammedDonald Trump To Hold Talks With Vladimir Putin In Bid To Agree Ukraine Peace Deal",2025-03-18 06:46:18
gb,Israel's Democrats party chief says Netanyahu resumed Gaza war to stay in power,"Israel's Democrats party chief says Netanyahu resumed Gaza war to stay in power Israeli Democrats party leader Yair Golan accused Prime Minister Benjamin Netanyahu of resuming the war in Gaza for political survival, saying soldiers and captives are “just cards in his game of survival.“Netanyahu is using the lives of our citizens and soldiers because he trembles in fear of us — the public protest against the dismissal of the head of the Shin Bet,” the left-wing leader said, referring to Netanyahu’s recent announcement that he will terminate Shin Bet chief Ronen Bar.Israelis “must not let the madness win” and instead protest in order to save the state of Israel “from the hands of this corrupt and dangerous man,” he said as he called for protests.",en,Israel's Democrats party chief says Netanyahu resumed Gaza war to stay in power,"Israel's Democrats party chief says Netanyahu resumed Gaza war to stay in power Israeli Democrats party leader Yair Golan accused Prime Minister Benjamin Netanyahu of resuming the war in Gaza for political survival, saying soldiers and captives are just cards in his game of survival.Netanyahu is using the lives of our citizens and soldiers because he trembles in fear of us  the public protest against the dismissal of the head of the Shin Bet, the left-wing leader said, referring to Netanyahus recent announcement that he will terminate Shin Bet chief Ronen Bar.Israelis must not let the madness win and instead protest in order to save the state of Israel from the hands of this corrupt and dangerous man, he said as he called for protests.",2025-03-18 06:46:00
gb,I'm hooked on wellness retreats – despite the midlife clichés,"Costs can be prohibitive, and some are exploitative – but the seven I've tried have transformed my life - inews.co.uk",en,I'm hooked on wellness retreats  despite the midlife cliches,"Costs can be prohibitive, and some are exploitative  but the seven I've tried have transformed my life - inews.co.uk",2025-03-18 06:45:58
gb,Ukraine Kursk offensive branded a costly mistake as troops withdraw,Russian forces could push over the border into northern Ukraine after regaining occupied territory - inews.co.uk,en,Ukraine Kursk offensive branded a costly mistake as troops withdraw,Russian forces could push over the border into northern Ukraine after regaining occupied territory - inews.co.uk,2025-03-18 06:45:58
