iso_code,title,description,lang_tranlation,title_translated,description_translated,pubDate
lt,Šokiruojantis pabėgėlio liudijimas: Šiaurės Korėjos žmonės – gyvi režimo įkaitai,"Iš Šiaurės Korėjos pabėgęs Timothy Cho pasiuntė jaudinančią žinią tiems, kurie vis dar gyvena šioje uždaroje šalyje. T.Cho yra vienas iš tūkstančių žmonių, kuriems pavyko palikti vienu uždariausių pasaulyje vadinamą Kim Jong Uno režimą. Simboliška, tačiau šis uždaras režimas yra geidžiama turistų atostogų kryptis – žmonės iš arti nori patys pamatyti, kokia paslaptinga yra Šiaurės Korėja.",en,Social testimony of the faded: narrow Korean people's living residence,"From the narrower Korea, Timothy Cho sent an exciting Zinia for those who still live in this Uzdara Hall. T.Cho is one of the thousands of people who have managed to leave the one of the world's most backed up by Kim Jong Un. Symbolic, however, this Uzdaras Rezim is the desire tourist holiday direction people close to see how mysterious narrow korea is.",2025-03-18 05:00:00
lt,„Wall Street Journal“: dėl paliaubų Ukrainoje laukia lemtingas momentas,"JAV prezidentas Donaldas Trumpas deda viltis, kad Kremlius sutiks su JAV pasiūlymu paskelbti laikinas 30-ies dienų paliaubas. D. Trumpas antradienį telefonu kalbėsis su Vladimiru Putinu. Kaip rašo „Wall Street Journal“, tikėtina, kad V. Putinas primygtinai reikalaus teritorinių ar kitokių nuolaidų. Anot leidinio, Kremlius jau sužlugdė viltis dėl bet kokio proveržio Ukrainos klausimu.",en,Wall Street Journal: For a ceasefire in Ukraine waiting for a fateful moment,"US President Donald Trump is hoping that the Kremlin will agree with the US offer to declare a temporary 30-day ceasefire. Mr Trump will talk to Vladimir Putin on the phone on Tuesday. As Raso Wall Street Journal is likely to insist on a territorial or other discount. According to the publication, the Kremlin has already disrupted the hope of any breakthrough in Ukraine.",2025-03-18 06:17:00
lt,P.George'o sezonas yra baigtas,"Filadelfijos „76ers“ gynėjas Paulas George'as praleis likusią sezono dalį po to, kai jam buvo atliktos injekcijos į kairįjį kirkšnies raumenį ir kairįjį kelį, pirmadienį pranešė komanda. 34-erių krepšininkas pastarąją savaitę konsultavosi su gydytojais dėl nuolatinių traumų. Šį sezoną jis įvairiu metu kovojo su kirkšnies, piršto ir kelio problemomis. Pranešama, kad P.George'as penkiose rungtynėse prieš NBA „Visų žvaigždžių“ pertrauką žaidė su skausmą malšinančiomis injekcijomis.",en,P.George's season is complete,"Philadelphia's 76ers defender Paul George will miss the rest of the season after he was injected on the left Kirksge muscle and Kairi, Monday reports the team. The 34-year-old basketball player consulted with doctors for permanent trauma for a week. This season, he fought against the problems of the axes, fingers and roads. It is reported that George's five matches before the NBA is a full break in pain with male -in injections.",2025-03-18 06:46:00
lt,„76ers“ prarado ir antrą lyderį: sezoną užbaigė kirkšnies ir kelio trauma,"Filadelfijos „76ers“ gynėjas Paulas George'as praleis likusią sezono dalį po to, kai jam buvo atliktos injekcijos į kairįjį kirkšnies raumenį ir kairįjį kelį, pirmadienį pranešė komanda. 34-erių krepšininkas pastarąją savaitę konsultavosi su gydytojais dėl nuolatinių traumų. Šį sezoną jis įvairiu metu kovojo su kirkšnies, piršto ir kelio problemomis. Pranešama, kad P.George'as penkiose rungtynėse prieš NBA „Visų žvaigždžių“ pertrauką žaidė su skausmą malšinančiomis injekcijomis.",en,76ers lost and second leader: season in the end of the axy and knee trauma,"Philadelphia's 76ers defender Paul George will miss the rest of the season after he was injected on the left Kirksge muscle and Kairi, Monday reports the team. The 34-year-old basketball player consulted with doctors for permanent trauma for a week. This season, he fought against the problems of the axes, fingers and roads. It is reported that George's five matches before the NBA is a full break in pain with male -in injections.",2025-03-18 06:46:00
lt,M. Carney: Kanada turi mažinti priklausomybę nuo JAV,"Naujasis kanadiečių ministras pirmininkas Markas Carney (Markas Karnis) pirmadienį per savo pirmąją kelionę į užsienį įspėjo, kad Kanada turi mažinti priklausomybę nuo Jungtinių Valstijų ir atsigręžti į patikimus sąjungininkus Europoje.",en,M. Carney: Canada must reduce dependence on the US,The new Canadian Prime Minister Mark Carney (Mark Karnis) on Monday on his first trip to the foreign to Canada that Canada should reduce the dependence on the United States and recover from trusted Sauginators in Europe.,2025-03-18 06:45:04
lt,Teresė Škutaitė. Kaip 2050 m. atrodys Lietuvos miestai? 5 pagrindinės transformacijos sritys,"Ar žinojote, kad 2050 m. daugiau nei 70 proc. pasaulio gyventojų gyvens miestuose? Tai reiškia, kad urbanistinė plėtra, energetika ir transportas turės iš esmės pasikeisti, kad išvengtume miestų perpildymo, taršos ir klimato krizės padarinių. Kaip Lietuvos miestai ruošiasi šiai realybei?",en,Teresa Scutaite. As in 2050 Will Lithuanian cities look like? 5 main areas of transformation,"Did you know that 2050 More than 70 percent Will the world population live in cities? It means that the urban enlargement, energy and transport will have to change the effect of the city with the consequence of overflow, tars and climate crises. How do Lithuanian cities take this reality?",2025-03-18 06:44:50
lt,Naujasis premjeras Carney: Kanada turi mažinti priklausomybę nuo JAV,"Naujasis kanadiečių ministras pirmininkas Markas Carney pirmadienį per savo pirmąją kelionę į užsienį įspėjo, kad Kanada turi mažinti priklausomybę nuo Jungtinių Valstijų ir atsigręžti į patikimus sąjungininkus Europoje.",en,New Prime Minister Carney: Canada must reduce dependence on the US,The new Canadian Prime Minister Mark Carney Monday on his first journey to the foreign to Canada that Canada should reduce the dependence on the United States and recover from trusted Sajajurists in Europe.,2025-03-18 06:43:00
lt,"Prezidento patarėjas: balsavimai Seime parodys, ar koalicija iš tiesų gyvybinga","Valdančiosios daugumos partneriams nevengiant viešų ginčų, prezidento Gitano Nausėdos vyriausiasis patarėjas Frederikas Jansonas sako, kad koalicijos stiprybė ir veiksmingumas bus įvertintas per artimiausius mėnesius – kai Seimą pasieks esminiai įstatymų projektai dėl mokestinių pakeitimų, antrosios pensijų pakopos ir gynybos klausimų. Iki šiol, anot patarėjo, valdantieji daug triukšmavo, tačiau realaus darbo, F. Jansono manymu, nebuvo.",en,Presidential Advisor: Votes in the Seimas will show whether the coalition is true viable,"Frederick Janson, Chief Advisor to President Gitanas Nauseda, says that the strength and effectiveness of the coalition will be evaluated in the next month when the family reaches the fundamental statutory projects on the amendment of the second step and the defense. Until then, according to the advisor, the rulers had a lot of noise, but real work, according to Janson.",2025-03-18 06:40:00
lt,Jansonas: artimiausiu metu Lietuva pasitrauks iš Otavos konvencijos,"Lietuva netrukus pasitrauks iš priešpėstines minas draudžiančios Otavos konvencijos, sako prezidento vyriausiasis patarėjas Frederikas Jansonas.",en,Janson: Lithuania will withdraw from Ottawa Convention in the near future,"Lithuania will soon retire from the Ottawa Convention for the prohibition of mines, says President Frederick, Advisor to the President.",2025-03-18 06:40:00
lt,Vilniaus rajonas išimties tvarka nutarė asfaltuoti Narkevičiaus patarėjo gatvę,"Vilniaus rajono savivaldybės taryboje Lietuvos lenkų rinkimų akcijos-Krikščioniškų šeimų sąjungos (LLRA-KŠS) narių balsais buvo nuspręsta išimties tvarka asfaltuoti gatvę Dūkštų kaime, kurioje gyvena Seimo nario Jaroslavo Narkevičiaus patarėjas, antradienį pranešė LRT radijas. Siūlymą įtraukti šią gatvę į prioritetinių asfaltuoti sąrašą pateikė Vilniaus rajono tarybos narys, LLRA-KŠS frakcijos seniūnas Waldemaras Urbanas – šios partijos atstovo Seime Česlavo Olševskio patarėjas.",en,Vilnius district decided to pave the order of Narkevicius Advisor Street,"In the election of the Vilnius District Municipal Council, the votes of the Saugin (LLRA-KSS) of the campaign-criticism of the campaign were resolved in the village of a stubborn village, which lives in a village of a member of the Seimas member Jaroslav Narkevicius, Tuesday, announced LRT Radio. The propagation of SIA Street to the priority of Sarasa, a member of the Vilnius District Council, Seniu, a member of the LLRA-KSS faction, Waldemaras Urbanas, a spokesman for this party in the Seimas, Ceslav Olsevsky's advisor.",2025-03-18 06:39:00
