iso_code,title,description,pubDate
us,A Leak-Prone White House Finally Manages to Keep a Secret,"BAGRAM AIR FIELD, Afghanistan  It may be the leakiest White House in history. The news media has unearthed details of President Trumps calls with foreign leaders, his candid assessments of senior aides and his private daily schedules.",2019-12-01T00:15:08+0000
us,Justin Fields Has Heisman Moment in Ohio States Win Over Michigan,"ANN ARBOR, Mich.  The throw was only one of 25 that Ohio State quarterback Justin Fields attempted on Saturday against Michigan. But considering the dramatic circumstances that surrounded it, the 30-yard strike from Fields may be the one that is remembered most.",2019-12-01T00:33:57+0000
us,Mikaela Shiffrin Learns a New Way to Win: Without Her Mother as Coach,"KILLINGTON, Vt.  Mikaela Shiffrin, the two-time Olympic gold medalist, has charged through the opening stage of a new ski racing season with customary success, winning once and finishing second and third in her two other races.",2019-12-01T00:37:15+0000
us,Leonardo DiCaprio Responds to Brazils President About Amazon Fires,The actor and environmentalist Leonardo DiCaprio said on Saturday that he was not going to let President Jair Bolsonaro of Brazil get in the way of his support of the Amazon rainforest.,2019-12-01T01:03:22+0000
us,Cooking Grease Down a Drain Eyed in Sewage Flood of at Least 80 Homes,"A blocked pipe sent sewage flooding into at least 80 homes in a Queens neighborhood on Saturday, with city officials pointing to a familiar culprit on the heels of Thanksgiving: cooking grease poured down a drain.",2019-12-01T01:47:35+0000
us,Trumps Intervention in SEALs Case Tests Pentagons Tolerance,"He was limp and dusty from an explosion, conscious but barely. A far cry from the fierce, masked Islamic State fighters who once seized vast swaths of Iraq and Syria, the captive was a scraggly teenager in a tank top with limbs so thin that his watch slid easily off his wrist. ",2019-12-01T01:47:50+0000
us,"9 Family Members Die in Plane Crash During Storm in South Dakota, Officials Say","A dozen family members were returning home from a hunting trip in South Dakota when their small plane, flying in blizzard-like conditions, crashed shortly after takeoff on Saturday. Nine people, including two children, were killed, the authorities said.",2019-12-01T04:12:36+0000
us,"Daniella Berman, Anthony Cak",Daniella Nadine Berman and Anthony Daniel Cak are to be married Dec. 1 in Brooklyn. Rabbi Amichai Lau-Lavie is to officiate at Brooklyn Winery.,2019-12-01T05:00:00+0000
us,"Quotation of the Day: Amazons Expansive, Creeping Influence in an American City","Theyre an equal opportunity exploiter, Ill tell you that. You could come in with three arms and they wouldnt care.",2019-12-01T05:06:16+0000
us,"Corrections: Dec. 1, 2019","An article last Sunday about the new 17-mile Crosstown Trail in San Francisco misspelled the surname of the man who spearheaded the paths creation. He is Bob Siegel, not Seigel. ",2019-12-01T05:08:27+0000
us,"Ellie Krupnick, Daniel Aronhime","Ellie Krupnick and Daniel Moshe Aronhime were married Nov. 27 at Congregation Beth El in Voorhees, N.J. Rabbi Aaron B. Krupnick, the brides father, officiated.",2019-12-01T05:10:00+0000
us,"Helen Yang, Maxwell Meyer","Dr. Helen Xiao Yang and Maxwell Livingston Meyer were married Nov. 30 at the Marriott resort on Ko Naka Yai, an island off the coast of Phuket, Thailand. Mark Angus Meyer, the brother of the groom and who became a Universal Life minister for the event, led a ceremony. The following week, the couple is to register their union with the Phuket amphur (a Thai district office).",2019-12-01T05:15:00+0000
us,"Courtney Bass, Daniel Sherizen","Courtney Jameson Bass and Daniel Benjamin Sherizen were married Nov. 29 at Boston City Hall. Alex Geourntas, a justice of the peace, officiated.",2019-12-01T05:15:00+0000
us,"Lindsey Puliti, Gregory Kay",Lindsey Maria Puliti and Gregory Alan Kay were married Nov. 30 in Newark. The Rev. Paul M. Donohue performed the ceremony at St. Lucys Roman Catholic Church.,2019-12-01T05:15:00+0000
us,Whats on TV Sunday: Kacey Musgravess Christmas Show and Apollo 11,"THE KACEY MUSGRAVES CHRISTMAS SHOW Stream on Amazon. Kacey Musgraves is an artist who can create her own psychedelic, technicolor world inspired by sepia-tone, classic country music. Thats the conceit behind this Christmas special, which pays tribute to holiday variety shows of the past hosted by Bing Crosby, Johnny Cash and the Carpenters. Musgraves has tapped an all-star cast that includes Dan Levy of Schitts Creek, Kendall Jenner and the Radio City Rockettes to help her bring her 2016 Christmas album A Very Kacey Christmas to life. Leon Bridges, Camila Cabello, Lana Del Rey, James Corden and Zooey Deschanel stop by to perform songs from that album and the Christmas canon with Musgraves, while Troye Sivan joins the singer in the debut of a new collaboration called Glittery. Even Musgravess grandmother Nana stops by to spread some Christmas cheer.",2019-12-01T06:00:05+0000
us,China Cracks Down on Fentanyl. But Is It Enough to End the U.S. Epidemic?,"When things go wrong, those in power often promise to make it right. But do they? In this series, The Times investigates to see if those promises were kept.",2019-12-01T07:55:09+0000
us,My Children Often Call Me Old-Fashioned. I Prefer Traditional.,Dear Diary:,2019-12-01T08:00:03+0000
us,Plunge in 3 Hong Kong Stocks Offers a Cautionary Tale,"HONG KONG  Even by the standards of Hong Kong, where the ups and downs of the stock market rival events at the horse track as a spectator sport, three recent flameouts have been spectacular. ",2019-12-01T08:00:11+0000
us,Hong Kong Police Fire Tear Gas as Protesters Return in Force,"HONG KONG  After a relative lull in the protests, thousands of pro-democracy activists turned out Sunday for three demonstrations a week after scoring a major victory in elections that were viewed as a broad endorsement of the movements goals.",2019-12-01T09:15:02+0000
us,Sent Candy: Cockpit Tapes Show Russian Pilots Bombing Syrian Civilians,"A Times investigation used cockpit recordings to show for the first time how Russian pilots attacked civilians in Syria this summer, killing dozens.",2019-12-01T10:00:01+0000
us,A Civilian Camp in Syria Was Bombed. Heres How We Traced the Culprit.,"Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together.",2019-12-01T10:00:07+0000
us,Called to Serve Children and Looking for Her Opportunity,"NEW ROCHELLE, N.Y.  When Shirley Dieujuste worked at a child care center in Westchester County, she loved helping children puzzle out how to write letters.",2019-12-01T10:00:09+0000
us,How a Curious Mammal Evolved Its Venom,The Hispaniolan solenodon is a wondrously strange creature.,2019-12-01T10:00:11+0000
us,"Homes That Sold for Around $600,000","Each week, our survey of recent residential sales in New York City and the surrounding region focuses on homes that sold around a certain price point, allowing you to compare single-family homes, condos and co-ops in different locales.",2019-12-01T10:00:11+0000
us,How a Divided Left Is Losing the Battle on Abortion,"ATLANTA  The pin was small, and rusted on the back. Sharon Wood had packed it away in 1973 as a relic of a battle fought and won: the image of a black coat hanger, slashed out by a red line. ",2019-12-01T10:00:11+0000
