Nom,Nomenament,Partit
Gaston Eyskens,17-07-1968,derecha
Gaston Eyskens,20-01-1972,derecha
Edmond Leburton,26-01-1973,esquerra
Leo Tindemans,25-04-1974,dreta
Leo Tindemans,03-06-1977,dreta
Paul vanden Boeynants,20-10-1978,dreta
Wilfried Martens,03-03-1979,dreta
Mark Eyskens,31-03-1981,dreta
Wilfried Martens,17-12-1981,dreta
Wilfried Martens,09-05-1988,dreta
Wilfried Martens,29-09-1991,dreta
Jean-Luc Dehaene,07-03-1992,dreta
Guy Verhofstadt,12-07-1999,centre
Guy Verhofstadt,11-07-2003,centre
Guy Verhofstadt,21-12-2007,centre
Yves Leterme,20-03-2008,dreta
Herman Van Rompuy,30-12-2008,dreta
Yves Leterme,25-11-2009,dreta
Elio Di Rupo,06-12-2011,esquerra
Charles Michel,11-11-2014,dreta
Charles Michel,09-12-2018,dreta
Herman Van Rompuy,30-12-2008,dreta
Sophie Wilmès,27-10-2019,dreta
Alexander De Croo,01-10-2020,centre
Bart De Wever,03-02-2025,dreta
