Nom,Nomenament,Partit
Willy Brandt,22-10-1969,esquerra
Willy Brandt,13-12-1972,esquerra
Helmut Schmidt,06-05-1974,esquerra
Helmut Schmidt,14-12-1976,esquerra
Helmut Schmidt,04-11-1980,esquerra
Helmut Kohl,04-10-1982,dreta
Helmut Kohl,39-03-1983,dreta
Helmut Kohl,18-02-1987,dreta
Helmut Kohl,18-01-1991,dreta
Helmut Kohl,17-11-1994,dreta
Gerhard Schröder,27-10-1998,esquerra
Gerhard Schröder,22-10-2002,esquerra
Angela Merkel,22-11-2005,dreta
Angela Merkel,28-10-2009,dreta
Angela Merkel,17-12-2013,dreta
Angela Merkel,14-10-2018,dreta
Olaf Scholz,08-12-2021,esquerra
