Nom,Nomenament,Partit
Hilmar Baunsgaard,02-02-1968,esquerra
Jens Otto Krag,11-10-1971,esquerra
Anker Jørgensen,05-10-1972,esquerra
Poul Hartling,19-12-1973,dreta
Anker Jørgensen,13-02-1975,esquerra
Anker Jørgensen,15-02-1977,esquerra
Anker Jørgensen,23-11-1979,esquerra
Anker Jørgensen,08-12-1981,esquerra
Poul Schlüter,10-09-1982,dreta
Poul Schlüter,08-09-1987,dreta
Poul Schlüter,10-05-1988,dreta
Poul Schlüter,12-12-1990,dreta
Poul Nyrup Rasmussen,25-01-1993,esquerra
Poul Nyrup Rasmussen,11-03-1998,esquerra
Anders Fogh Rasmussen,27-11-2001,dreta
Anders Fogh Rasmussen,08-02-2005,dreta
Anders Fogh Rasmussen,13-11-2007,dreta
Lars Løkke Rasmussen,05-04-2009,dreta
Helle Thorning-Schmidt,03-10-2011,esquerra
Lars Løkke Rasmussen,28-06-2015,dreta
Mette Frederiksen,27-06-2019,esquerra
Mette Frederiksen,01-11-2022,esquerra
