"Nom,""Nomenament"",""Partit"""
"Adolfo Suárez González,""03/07/1976"",""dreta"""
"Leopoldo Calvo-Sotelo Bustelo,""26/02/1981"",""dreta"""
"Felipe González Márquez,""02/12/1982"",""esquerra"""
"Felipe González Márquez,""24/07/1986"",""esquerra"""
"Felipe González Márquez,""06/12/1989"",""esquerra"""
"Felipe González Márquez,""10/07/1993"",""esquerra"""
"José María Aznar López,""05/05/1996"",""dreta"""
"José María Aznar López,""27/04/2000"",""dreta"""
"José Luis Rodríguez Zapatero,""17/04/2004"",""esquerra"""
"José Luis Rodríguez Zapatero,""12/04/2008"",""esquerra"""
"Mariano Rajoy Brey,""21/12/2011"",""dreta"""
"Mariano Rajoy Brey,""31/10/2016"",""dreta"""
"Pedro Sánchez Pérez-Castejón,""02/06/2018"",""esquerra"""
"Pedro Sánchez Pérez-Castejón,""08/01/2020"",""esquerra"""
"Pedro Sánchez Pérez-Castejón,""17/11/2023"",""esquerra"""
