Nom,Nomenament,Partit
Michael Stasinopulos,18-12-1974,dreta
Konstantinos Tsatsos,19-07-1975,dreta
Konstantinos Karamanlís,10-05-1980,dreta
Christos Sartzetakis,30-03-1985,esquerra
Konstantinos Karamanlís,05-05-1990,dreta
Konstantinos Stephanópulos,10-03-1995,dreta
Konstantinos Stephanópulos,10-03-2000,dreta
Karolos Papoulias,12-03-2005,esquerra
Karolos Papoulias,12-03-2010,esquerra
Prokopis Pavlópoulos,13-03-2015,dreta
Katerina Sakellaropoulou,13-03-2020,esquerra
Konstantinos Tasoulas,13-03-2025,dreta
