Nom,Nomenament,Partit
Jakov Blažević,01-06-1967,esquerra
Ivo Perišin,01-04-1974,esquerra
Jakov Blažević,08-05-1974,esquerra
Marijan Cvetković,01-05-1982,esquerra
Milutin Baltić,01-05-1983,esquerra
Jakša Petrić,10-05-1984,esquerra
Pero Car,10-05-1985,esquerra
Ema Derossi-Bjelajac,20-11-1985,esquerra
Ante Marković,10-05-1986,esquerra
Ivo Latin,01-05-1988,esquerra
Franjo Tuđman,30-05-1990,dreta
Stjepan Mesić,18-02-2000,esquerra
Ivo Josipović,18-02-2010,esquerra
Kolinda Grabar-Kitarović,19-02-2015,dreta
Zoran Milanović,19-02-2020,esquerra
