Nom,Nomenament,Partit
Piet de Jong,05-04-1967,dreta
Barend Biesheuvel,06-07-1971,dreta
Joop den Uyl,11-05-1973,esquerra
dries van Agt,19-12-1977,dreta
dries van Agt,11-09-1981,dreta
Ruud Lubbers,04-11-1982,dreta
Ruud Lubbers,21-05-1986,dreta
Ruud Lubbers,07-11-1989,dreta
Wim Kok,22-08-1994,esquerra
Wim Kok,22-08-1998,esquerra
Jan Peter Balkenende,22-07-2002,dreta
Jan Peter Balkenende,27-05-2003,dreta
Jan Peter Balkenende,22-02-2007,dreta
Mark Rutte,14-10-2010,dreta
Mark Rutte,05-11-2012,dreta
Mark Rutte,26-10-2017,dreta
Mark Rutte,17-05-2021,dreta
Dick Schoof,02-07-2024,independent
