Nom,Nomenament,Partit
Nicolae Ceaușescu,28-03-1974,esquerra
Nicolae Ceaușescu,28-03-1980,esquerra
Nicolae Ceaușescu,28-03-1985,esquerra
Ion Iliescu,26-12-1989,esquerra
Ion Iliescu,26-12-1992,esquerra
Emil Constantinescu,26-11-1996,dreta
Ion Iliescu,20-12-2000,esquerra
Traian Băsescu,20-12-2004,dreta
Traian Băsescu,23-05-2007,dreta
Traian Băsescu,23-05-2009,dreta
Traian Băsescu,27-08-2012,dreta
Klaus Iohannis,21-12-2014,dreta
Klaus Iohannis,21-12-2019,dreta
Ilie Bolojan,12-02-2025,dreta
Nicușor Dan,18-05-2025,independent
