Nom,Nomenament,Partit
Olof Palme,14-10-1969,Esquerra
Olof Palme,14-10-1970,Esquerra
Olof Palme,14-10-1973,Esquerra
Thorbjörn Fälldin,08-10-1976,Dreta
Ola Ullsten,18-10-1978,Dreta
Thorbjörn Fälldin,12-10-1979,Dreta
Olof Palme,08-10-1982,Esquerra
Ingvar Carlsson,28-02-1986,Esquerra
Carl Bildt,04-10-1991,Dreta
Ingvar Carlsson,07-10-1994,Esquerra
Göran Persson,22-03-1996,Esquerra
Fredrik Reinfeldt,06-10-2006,Dreta
Fredrik Reinfeldt,06-10-2010,Dreta
Stefan Löfven,03-10-2014,Esquerra
Magdalena Andersson,30-11-2021,Esquerra
Ulf Kristersson,18-10-2022,Dreta
