Nom,Nomenament,Partit
Richard Nixon,20-01-1969,dreta
Richard Nixon,20-01-1973,dreta
Gerald Ford,09-08-1974,dreta
Jimmy Carter,20-01-1977,esquerra
Ronald Reagan,20-01-1981,dreta
Ronald Reagan,20-01-1985,dreta
George H. W. Bush,20-01-1989,dreta
Bill Clinton,20-01-1993,esquerra
Bill Clinton,20-01-1997,esquerra
George W. Bush,20-01-2001,dreta
George W. Bush,20-01-2005,dreta
Barack Obama,20-01-2009,esquerra
Barack Obama,20-01-2013,esquerra
Donald Trump,20-01-2017,dreta
Joe Biden,20-01-2021,esquerra
Donald Trump,20-01-2025,dreta
